method,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_crude_se,abs_bias_stratified_se
1A_predicted_prob,0.029660265173273928,0.003925884240258525,0.00055520387368804,0.0010881995924285584,0.9362388930496114,0.12466124966215655,0.01762976299746002,0.03455433547502164,0.35538834472829656,0.028636063334474486,0.004049750914058873,0.007937511791555392,0.10951627182805304,0.11524362343499957,0.016297909523879422,0.031943902666803664,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.017976444478490495,0.013667537883881057,0.0019328817439632662,0.0037884482181680017,0.001418622036892064,0.00727331071125473,0.001028601465120994,0.0020160588716371486,0.07314344788490057,1.0794194396091628,0.1526529610984444,0.299199803752951,0.01939506651538256,0.017976444478490495,0.0020923160054319356,0.0019328817439632662
1B_residual,0.03220819652728423,0.003820648779345758,0.0005403213320814981,0.0010590298108797364,0.9169032658836346,0.1797085117140583,0.025414621453990545,0.04981265804982147,0.3649678479068477,0.027976535985999997,0.0039564796619620144,0.007754700137445548,0.0795652793667428,0.08458812448830401,0.011962567286706324,0.023446631881944395,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.013044810481191998,0.009913578987703934,0.001401991785606784,0.0027479038997892968,0.006350256034190545,0.01623205893386075,0.0022955597889505234,0.004499297186343025,0.327416048259183,2.349106082304916,0.332213768104874,0.651138985485553,0.01939506651538256,0.013044810481191998,0.0020923160054319356,0.001401991785606784
1C_cv_decision,0.029660265173273928,0.003925884240258525,0.00055520387368804,0.0010881995924285584,0.9362388930496114,0.12466124966215655,0.01762976299746002,0.03455433547502164,0.35538834472829656,0.028636063334474486,0.004049750914058873,0.007937511791555392,0.10951627182805304,0.11524362343499957,0.016297909523879422,0.031943902666803664,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.017976444478490495,0.013667537883881057,0.0019328817439632662,0.0037884482181680017,0.001418622036892064,0.00727331071125473,0.001028601465120994,0.0020160588716371486,0.07314344788490057,1.0794194396091628,0.1526529610984444,0.299199803752951,0.01939506651538256,0.017976444478490495,0.0020923160054319356,0.0019328817439632662
1D_ml_uncertainty,0.010834929713977681,0.003953104533320718,0.0005590534044500724,0.001095744672722142,0.9303285511016575,0.1537422087239866,0.021742431668665702,0.04261516607058478,0.19170169810462892,0.03183419053257873,0.004502034399834202,0.008823987423675034,0.058449378517483754,0.06508073519303566,0.0092038058359203,0.01803945943840379,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.018603251949742737,0.013990445150165051,0.001978547727500031,0.0038779535459000604,0.000791814565639821,0.005263257808281876,0.000744337057473832,0.0014589006326487107,0.04082556587325026,0.6712662496615828,0.09493138342347343,0.1860655115100079,0.01939506651538256,0.018603251949742737,0.0020923160054319356,0.001978547727500031
2A_PCA_cum40,0.021571051192365985,0.004770100029521943,0.0006745940155626233,0.0013222042705027415,0.8734956822753799,0.2121424097264574,0.030001467298966602,0.058802875905974536,0.20207188596883188,0.03856482012591429,0.005453889165254688,0.01068962276389919,0.09005137391996602,0.10228245256704732,0.01446492316131011,0.028351249396167816,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.017080719832856327,0.01355415017676775,0.0019168463006426636,0.0037570187492596205,0.002314346682526226,0.006559757079011157,0.0009276897427010496,0.0018182718956940573,0.11932656589193358,0.8243083917364756,0.11657481071716778,0.22848662900564887,0.01939506651538256,0.017080719832856327,0.0020923160054319356,0.0019168463006426636
2A_PCA_cum60,0.016797501563433143,0.004266821327685889,0.000603419658983616,0.0011827025316078874,0.8703337152660859,0.21187503127914137,0.029963654276318544,0.058728762381584344,0.15681141973313772,0.03766801598586505,0.00532706190748969,0.010441041338679792,0.07513283277978185,0.08335294092171591,0.0117878859515174,0.0231042564649741,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.017454200919380946,0.01377519595764603,0.0019481068947650052,0.00381828951373941,0.001940865596001596,0.006648939559376573,0.000940302050026934,0.0018429920180527907,0.10007006650182293,0.7464556040109046,0.10556476389016217,0.20690693722471784,0.01939506651538256,0.017454200919380946,0.0020923160054319356,0.0019481068947650052
2A_PCA_cum80,0.014465406358177548,0.0037884532562381277,0.0005357681975388474,0.001050105667176141,0.9126816442076084,0.17410323978613682,0.024621916295864972,0.04825895593989534,0.13131860892221975,0.03175759346925313,0.004491201939254901,0.008802755800939605,0.0739958101770506,0.08332571627222297,0.011784035804663022,0.02309671017713952,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.0174427695214165,0.014140326020040403,0.0019997440833918307,0.003919498403447988,0.001952296993966042,0.005599968589539774,0.000791955152819048,0.0015522320995253341,0.10065946370524992,0.49294645942069826,0.069713156843655,0.1366377874135638,0.01939506651538256,0.0174427695214165,0.0020923160054319356,0.0019997440833918307
2A_PCA_k1,0.025404884767250387,0.0033876840926948446,0.00047909087889246423,0.0009390181226292299,0.9075106021675435,0.16155895585539543,0.022847886649353635,0.04478185783273312,0.33963359368711915,0.025241823308683395,0.0035697328862165367,0.0069966764569844115,0.10838894721915215,0.1262760763975517,0.01785813398446787,0.035001942609557024,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.018713036619479078,0.013674234223367363,0.001933828749375245,0.0037903043487754803,0.0006820298959034841,0.007273417900636345,0.0010286166239887164,0.002016088583017884,0.03516512280906858,1.4312315258280122,0.20240670347219133,0.39671713880549503,0.01939506651538256,0.018713036619479078,0.0020923160054319356,0.001933828749375245
2A_PCA_k2,0.02907431753687947,0.005048813560645176,0.0007140100611357605,0.0013994597198260905,0.9121299413600064,0.1609735480679773,0.022765097486105085,0.04461959107276597,0.30697253745304176,0.038357268818545974,0.005424536977877834,0.010632092476640554,0.09303004721853099,0.09214963831386701,0.013031926827124611,0.025542576581164236,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.017711369137654778,0.013711602525324456,0.0019391134253183024,0.0038006623136238728,0.0016836973777277818,0.007804277521830965,0.0011036915115896838,0.00216323536271578,0.08681060085008796,0.8211584596900101,0.11612934305510127,0.22761351238799848,0.01939506651538256,0.017711369137654778,0.0020923160054319356,0.0019391134253183024
2A_PCA_k3,0.02458147773815935,0.004862417563661307,0.0006876496864450962,0.0013477933854323886,0.9132600887158963,0.1532627896607296,0.021674631574533875,0.0424822778860864,0.23847312839274937,0.04313839985920992,0.006100691013996828,0.011957354387433783,0.08236736975275505,0.08832937370843888,0.012491659825439575,0.024483653257861566,0.01939506651538256,0.01479490835826071,0.0020923160054319356,0.004100939370646594,0.01735823338072937,0.013953118952777803,0.0019732690060423447,0.0038676072518429956,0.0020368331346531845,0.006849930128167411,0.0009687264088562426,0.0018987037613582356,0.10501810514739629,0.7178557852104474,0.1015201387272602,0.19897947190543,0.01939506651538256,0.01735823338072937,0.0020923160054319356,0.0019732690060423447
