method,n_null,n_alt,c1_null_mean,c1_alt_mean,c1_5pct_threshold,c1_tpr_5pct,c1_auc,w_null_mean,w_alt_mean,w_95pct_threshold,w_tpr_95pct,w_auc
1A_predicted_prob,200,50,0.9030145552643589,0.8912173409514276,0.5107863571374264,0.06,0.50615,0.09433441088551657,0.1105316028442472,0.3089637522499471,0.08,0.5406
1B_residual,200,50,0.8934116457744784,0.9269903543078466,0.4463432912792241,0.06,0.4603,0.0669079146382171,0.07822075035005137,0.23208254381061139,0.06,0.5419999999999999
1C_cv_decision,200,50,0.9030145552643589,0.8912173409514276,0.5107863571374264,0.06,0.50615,0.09433441088551657,0.1105316028442472,0.3089637522499471,0.08,0.5406
2A_PCA_cum60,200,50,0.8759478654933807,0.8807118124296305,0.46871053008500785,0.06,0.46430000000000005,0.08423704871005772,0.08033031403571739,0.2797058480746383,0.06,0.4897
2B_clustering,200,50,0.8871471333798654,0.864695901413751,0.4441003680314417,0.02,0.54545,0.133393621681923,0.14348831202154547,0.2875335164777082,0.06,0.5371999999999999
GMM,200,50,0.878913860592708,0.8948908542348073,0.47029636913777007,0.06,0.4891,0.08093087392479145,0.09584468570599725,0.21848136567324739,0.08,0.5609
PS_propensity_score,200,50,0.8789391473942929,0.8810056373124815,0.4607334059341841,0.06,0.4812,0.06494183393102632,0.05896453146025868,0.24570771472649627,0.02,0.494
Prognostic_score,200,50,0.8779198422967036,0.8577697421649969,0.4534487395520231,0.02,0.5199,0.09296406913107998,0.10716036772458234,0.3077695114700699,0.04,0.5285
baseline_oracle_kmeans,200,50,0.8933086936583358,0.9126350345655081,0.47865880793201615,0.0,0.5066,0.03075939866806067,0.030391323164213366,0.07094943675850689,0.04,0.5063
baseline_oracle_quantile,200,50,0.8829630417041194,0.8971491310243016,0.4812464491162694,0.0,0.5071,0.03664804452317466,0.042262283287032194,0.1292542645193851,0.06,0.5373
baseline_random,200,50,0.8990455477287679,0.8825512720100201,0.4619029781406715,0.04,0.5445,0.004305654087346009,0.0038063493292976327,0.01027920886829863,0.04,0.4274
