method,n_strata,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_re_mean,bias_re_sd,bias_re_se,bias_re_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,bias_reduction_re_mean,bias_reduction_re_sd,bias_reduction_re_se,bias_reduction_re_ci95,bias_reduction_relative_re_mean,bias_reduction_relative_re_sd,bias_reduction_relative_re_se,bias_reduction_relative_re_ci95,re_tau2_mean,re_tau2_sd,re_tau2_se,re_tau2_ci95,re_I2_mean,re_I2_sd,re_I2_se,re_I2_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_crude_se,abs_bias_stratified_se,abs_bias_re_mean,abs_bias_re_se
1A_predicted_prob,3,0.028079650456119456,0.004754148875015321,0.000672338181658746,0.0013177828360511421,0.8494545172862931,0.25886066243691674,0.03660842595831713,0.07175251487830157,0.31660206663566126,0.03244785457064292,0.004588819600371304,0.008994086416727755,0.08614087123348015,0.10049960919163754,0.014212791033200957,0.027857070425073873,0.020691046476992634,0.01489442327684498,0.0021063895401839685,0.004128523498760578,0.017254896244712704,0.011811229510182656,0.0016703600961601639,0.0032739057884739213,0.014504750718704837,0.011482049725277445,0.0016238070445329632,0.003182661807284608,0.0034361502322799026,0.008798258323500039,0.0012442616246355724,0.002438752784285722,0.16606942699107807,4.327316617055374,0.051601650222298345,1.1994709703103454,0.006186295758287769,0.012451584469271021,0.0017609199629477275,0.003451403127377546,0.29898418937711224,6.296211674027522,0.06889617121229956,1.74522083643238,0.0005438711587922194,0.0013221920228507565,0.00018698618907770568,0.00036649293059230314,0.15982314464490519,0.24795325408279473,0.03506588547584303,0.06872913553265234,0.020691046476992634,0.017254896244712704,0.0021063895401839685,0.0016703600961601639,0.014504750718704837,0.0016238070445329632
1A_predicted_prob,5,0.02912469870306896,0.0047363783600219865,0.000669825051327353,0.0013128571006016118,0.8912173409514276,0.17451170571494015,0.024679682101493072,0.048372176918926424,0.3523210957652875,0.03594821443917548,0.0050838452402978285,0.009964336670983743,0.1105316028442472,0.10907484230145081,0.01542551212964183,0.03023400377409799,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.018881315713766132,0.01237407519574024,0.0017499584963640358,0.00342991865287351,0.01352336824640854,0.011434673596363793,0.0016171070481287208,0.003169529814332293,-0.00023392449025549675,0.008716599989649118,0.0012327133923142961,0.0024161182489360203,-0.012544622861806465,1.6639981486439632,0.06672558589681354,0.46123675491689875,0.00512402297710208,0.013962753775909007,0.001974631575796666,0.0038702778885614654,0.27478497746332065,2.4267918350291344,0.08963930160227353,0.6726723775262805,0.0004244288686418123,0.0006913889405268769,9.777716165678745e-05,0.0001916432368473034,0.14163065193144686,0.20298220652561444,0.02870601893889405,0.056263797120232335,0.018647391223510633,0.018881315713766132,0.0019429239352813197,0.0017499584963640358,0.01352336824640854,0.0016171070481287208
1A_predicted_prob,10,0.024681674166306632,0.004918177877003675,0.0006955353855821912,0.0013632493557410948,0.942666810941305,0.11976609220049962,0.01693748319023731,0.03319746705286513,0.3799728049943731,0.032554873302104534,0.004603954334517401,0.009023750495654107,0.10606780264931777,0.10098018202770437,0.014280754295448337,0.02799027841907874,0.01965450660573001,0.01646716346007125,0.002328808589904742,0.004564464836213295,0.01834365344080767,0.014038929997686807,0.0019854045203935165,0.0038913928599712926,0.013959676054425118,0.009892015411899307,0.0013989422354711678,0.0027419267815234887,0.00131085316492235,0.009559035125473396,0.0013518517117645276,0.002649629355058474,0.06669478869238965,2.2090240214523136,0.06497643384416064,0.61231021922618,0.005694830551304885,0.014305226794973603,0.0020230645746274673,0.0039652065662698355,0.28974680797352803,2.1669391636314264,0.07812643904076995,0.600644891792815,0.00047192523413668903,0.0009165273587685062,0.0001296165421056413,0.0002540484225270569,0.10106885798089651,0.15482335194413482,0.021895328409145834,0.042914843681925836,0.01965450660573001,0.01834365344080767,0.002328808589904742,0.0019854045203935165,0.013959676054425118,0.0013989422354711678
1B_residual,3,0.03162793680521218,0.004338850772488108,0.0006136061607565663,0.0012026680750828699,0.9755301331394162,0.10258339683722163,0.01450748310815001,0.02843466689197402,0.34536608839311284,0.023960240137991442,0.0033884896560863694,0.0066414397259292835,0.07518477006874381,0.08668234810743036,0.01225873523118738,0.024027121053127265,0.020691046476992634,0.01489442327684498,0.0021063895401839685,0.004128523498760578,0.013567326057517082,0.009233134933647354,0.0013057624646384896,0.0025592944306914397,0.008587199596049927,0.0018986545491673841,0.0002685103013693889,0.0005262801906840022,0.00712372041947553,0.0142403955310275,0.00201389604935363,0.003947236256733115,0.3442900013489776,5.380116842508428,0.0724111283892955,1.4912923043421569,0.012103846880942673,0.015431448256217286,0.0021823363411001134,0.004277379228556222,0.5849799281250252,3.847938932487614,0.04689684585576737,1.0665942553994567,1.414559504823667e-05,3.5482395432550714e-05,5.017968484619838e-06,9.835218229854882e-06,0.062056311136288615,0.13894226635836154,0.01964940374708499,0.03851283134428658,0.020691046476992634,0.013567326057517082,0.0021063895401839685,0.0013057624646384896,0.008587199596049927,0.0002685103013693889
1B_residual,5,0.031503299423883614,0.004421237698317402,0.0006252574315435676,0.0012255045658253925,0.9269903543078466,0.17630731823509954,0.024933620059370706,0.04886989531636658,0.36256910943856696,0.0272669757400027,0.0038561326896409975,0.007558020071696355,0.07822075035005137,0.08035514948300403,0.011363934220538168,0.02227331107225481,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.013449745241492275,0.009865675906336361,0.0013952172668718359,0.0027346258430687984,0.008155220078100201,0.002162358956832311,0.0003058037363471192,0.0005993753232403536,0.0051976459820183615,0.016583225516070617,0.0023452222432718633,0.004596635596812852,0.2787331439405404,3.801405172401483,0.10385736665694309,1.0536957551735404,0.010492171145410421,0.014682848326433838,0.0020764683237509836,0.004069877914551928,0.562661608782139,3.8757628641611124,0.05387779981379755,1.0743066557795726,1.605894254306196e-05,5.6982600868082006e-05,8.058556696693446e-06,1.5794771125519153e-05,0.043852337379884025,0.1246584153174665,0.01762936216058991,0.03455354983475622,0.018647391223510633,0.013449745241492275,0.0019429239352813197,0.0013952172668718359,0.008155220078100201,0.0003058037363471192
1B_residual,10,0.02625893063440251,0.004822620984935991,0.0006820216003081572,0.0013367623366039882,0.9550939893417646,0.11373888009285558,0.01608510667964436,0.031526809092102946,0.38965211319612664,0.03403916443374912,0.00481386479940559,0.009435175006834955,0.0925922093691555,0.08414042342768538,0.011899252795524756,0.023322535479228523,0.01965450660573001,0.01646716346007125,0.002328808589904742,0.004564464836213295,0.011048598323826797,0.008550744103960577,0.0012092578280202826,0.002370145342919754,0.008151965416965817,0.0027701468613954023,0.000391757926115064,0.0007678455351855254,0.00860590828190321,0.01856477785689753,0.002625456062766821,0.0051458938830229685,0.43785928868823776,1.8953308152904287,0.09073346091025669,0.5253588986568064,0.01150254118876418,0.01725031624152563,0.0024395631183990424,0.004781543712062123,0.5852368324224827,1.4557140757379028,0.05669823721654742,0.40350335541380755,5.839048931132e-06,4.1288310948834994e-05,5.839048931132e-06,1.144453590501872e-05,0.005826709136214696,0.04120105542219023,0.005826709136214696,0.011420349906980804,0.01965450660573001,0.011048598323826797,0.002328808589904742,0.0012092578280202826,0.008151965416965817,0.000391757926115064
1C_cv_decision,3,0.028079650456119456,0.004754148875015321,0.000672338181658746,0.0013177828360511421,0.8494545172862931,0.25886066243691674,0.03660842595831713,0.07175251487830157,0.31660206663566126,0.03244785457064292,0.004588819600371304,0.008994086416727755,0.08614087123348015,0.10049960919163754,0.014212791033200957,0.027857070425073873,0.020691046476992634,0.01489442327684498,0.0021063895401839685,0.004128523498760578,0.017254896244712704,0.011811229510182656,0.0016703600961601639,0.0032739057884739213,0.014504750718704837,0.011482049725277445,0.0016238070445329632,0.003182661807284608,0.0034361502322799026,0.008798258323500039,0.0012442616246355724,0.002438752784285722,0.16606942699107807,4.327316617055374,0.051601650222298345,1.1994709703103454,0.006186295758287769,0.012451584469271021,0.0017609199629477275,0.003451403127377546,0.29898418937711224,6.296211674027522,0.06889617121229956,1.74522083643238,0.0005438711587922194,0.0013221920228507565,0.00018698618907770568,0.00036649293059230314,0.15982314464490519,0.24795325408279473,0.03506588547584303,0.06872913553265234,0.020691046476992634,0.017254896244712704,0.0021063895401839685,0.0016703600961601639,0.014504750718704837,0.0016238070445329632
1C_cv_decision,5,0.02912469870306896,0.0047363783600219865,0.000669825051327353,0.0013128571006016118,0.8912173409514276,0.17451170571494015,0.024679682101493072,0.048372176918926424,0.3523210957652875,0.03594821443917548,0.0050838452402978285,0.009964336670983743,0.1105316028442472,0.10907484230145081,0.01542551212964183,0.03023400377409799,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.018881315713766132,0.01237407519574024,0.0017499584963640358,0.00342991865287351,0.01352336824640854,0.011434673596363793,0.0016171070481287208,0.003169529814332293,-0.00023392449025549675,0.008716599989649118,0.0012327133923142961,0.0024161182489360203,-0.012544622861806465,1.6639981486439632,0.06672558589681354,0.46123675491689875,0.00512402297710208,0.013962753775909007,0.001974631575796666,0.0038702778885614654,0.27478497746332065,2.4267918350291344,0.08963930160227353,0.6726723775262805,0.0004244288686418123,0.0006913889405268769,9.777716165678745e-05,0.0001916432368473034,0.14163065193144686,0.20298220652561444,0.02870601893889405,0.056263797120232335,0.018647391223510633,0.018881315713766132,0.0019429239352813197,0.0017499584963640358,0.01352336824640854,0.0016171070481287208
1C_cv_decision,10,0.024681674166306632,0.004918177877003675,0.0006955353855821912,0.0013632493557410948,0.942666810941305,0.11976609220049962,0.01693748319023731,0.03319746705286513,0.3799728049943731,0.032554873302104534,0.004603954334517401,0.009023750495654107,0.10606780264931777,0.10098018202770437,0.014280754295448337,0.02799027841907874,0.01965450660573001,0.01646716346007125,0.002328808589904742,0.004564464836213295,0.01834365344080767,0.014038929997686807,0.0019854045203935165,0.0038913928599712926,0.013959676054425118,0.009892015411899307,0.0013989422354711678,0.0027419267815234887,0.00131085316492235,0.009559035125473396,0.0013518517117645276,0.002649629355058474,0.06669478869238965,2.2090240214523136,0.06497643384416064,0.61231021922618,0.005694830551304885,0.014305226794973603,0.0020230645746274673,0.0039652065662698355,0.28974680797352803,2.1669391636314264,0.07812643904076995,0.600644891792815,0.00047192523413668903,0.0009165273587685062,0.0001296165421056413,0.0002540484225270569,0.10106885798089651,0.15482335194413482,0.021895328409145834,0.042914843681925836,0.01965450660573001,0.01834365344080767,0.002328808589904742,0.0019854045203935165,0.013959676054425118,0.0013989422354711678
2A_PCA_cum60,3,0.017333852673122256,0.005190167050961745,0.0007340004634452071,0.0014386409083526057,0.7711916216585394,0.27015648525682784,0.0382058965413253,0.07488355722099758,0.1441520332638711,0.03883390072932608,0.005491942909126337,0.01076420810188762,0.060218805783825366,0.0722728116213522,0.010220919038575211,0.020033001315607413,0.020691046476992634,0.01489442327684498,0.0021063895401839685,0.004128523498760578,0.019580297079663973,0.013539093211377135,0.0019147169241763044,0.0037528451713855567,0.018330415744225313,0.012831458106067875,0.0018146422078623376,0.0035566987274101816,0.0011107493973286468,0.00763840331142284,0.001080233355788974,0.002117257377346389,0.05368261090920445,4.399326582629717,0.05012537566922971,1.2194311144188315,0.0023606307327673033,0.010423976305146342,0.001474172866459374,0.002889378818260373,0.11408947997831909,4.116724901772195,0.06578019964341869,1.141097924974476,0.000544670566842916,0.0009242225548085479,0.00013070480716613595,0.00025618142204562644,0.19232540679127894,0.23761522826946857,0.03360386784450613,0.06586358097523201,0.020691046476992634,0.019580297079663973,0.0021063895401839685,0.0019147169241763044,0.018330415744225313,0.0018146422078623376
