method,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_re_mean,bias_re_sd,bias_re_se,bias_re_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,bias_reduction_re_mean,bias_reduction_re_sd,bias_reduction_re_se,bias_reduction_re_ci95,bias_reduction_relative_re_mean,bias_reduction_relative_re_sd,bias_reduction_relative_re_se,bias_reduction_relative_re_ci95,re_tau2_mean,re_tau2_sd,re_tau2_se,re_tau2_ci95,re_I2_mean,re_I2_sd,re_I2_se,re_I2_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_re_mean
1A_predicted_prob,0.009040971626569748,0.009218124949287346,0.00032389189550857943,0.0006348281151968157,0.9042420943521067,0.1743317479100788,0.006125393243046086,0.012005770756370328,0.11159306336045981,0.09274334659962785,0.00325866903423618,0.006386991307102912,0.10569257927005808,0.11557553483509014,0.004060910354122421,0.007959384294079944,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.02325485061969058,0.02240073751498382,0.0007870816868325452,0.0015426801061917885,0.020287899103051902,0.019857123779107356,0.0006977082102429944,0.0013675080920762688,0.0015466235929432908,0.00710834061229864,0.0002497616302126623,0.0004895327952168182,0.06236014761394515,7.058013939783029,0.24799333118814312,0.48606692912876054,0.004513575109581967,0.010946702562250908,0.00038462792183460004,0.000753870726795816,0.1819881782383228,10.000746421028488,0.35139041102474733,0.6887252056085047,0.0007461992170601987,0.002165745842310345,7.609655216378392e-05,0.00014914924224101648,0.13094491246637843,0.20761222828727172,0.007294750127673522,0.014297710250240103,0.024801474212633883,0.02325485061969058,0.020287899103051902
1B_residual,0.01491918979809765,0.008992398165411957,0.0003159606647757928,0.0006192829029605538,0.9810228716154359,0.08459234870668844,0.002972272161514826,0.005825653436569059,0.1834490878179836,0.0809356898957695,0.0028437902674189725,0.005573828924141186,0.086381612649024,0.09421458684169917,0.003310363147016656,0.006488311768152646,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.013896983906448685,0.014861388019035955,0.0005221759481299045,0.0010234648583346128,0.008110971398624763,0.004558755481709152,0.00016017834019976655,0.00031394954679154244,0.010904490306185184,0.020908435203386044,0.0007346475283638421,0.0014399091555931305,0.4396710539339813,7.264049743718104,0.2552326914101289,0.5002560751638526,0.016690502814009096,0.022852017418159364,0.0008029380463469338,0.0015737585708399903,0.6729641420068073,10.829992462616943,0.3805271469369499,0.7458332079964217,6.272906675928525e-05,0.00044054196264163066,1.5479066742537348e-05,3.03389708153732e-05,0.0640192634640195,0.17621698860681426,0.006191633849038606,0.012135602344115667,0.024801474212633883,0.013896983906448685,0.008110971398624763
1C_cv_decision,0.009040971626569748,0.009218124949287346,0.00032389189550857943,0.0006348281151968157,0.9042420943521067,0.1743317479100788,0.006125393243046086,0.012005770756370328,0.11159306336045981,0.09274334659962785,0.00325866903423618,0.006386991307102912,0.10569257927005808,0.11557553483509014,0.004060910354122421,0.007959384294079944,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.02325485061969058,0.02240073751498382,0.0007870816868325452,0.0015426801061917885,0.020287899103051902,0.019857123779107356,0.0006977082102429944,0.0013675080920762688,0.0015466235929432908,0.00710834061229864,0.0002497616302126623,0.0004895327952168182,0.06236014761394515,7.058013939783029,0.24799333118814312,0.48606692912876054,0.004513575109581967,0.010946702562250908,0.00038462792183460004,0.000753870726795816,0.1819881782383228,10.000746421028488,0.35139041102474733,0.6887252056085047,0.0007461992170601987,0.002165745842310345,7.609655216378392e-05,0.00014914924224101648,0.13094491246637843,0.20761222828727172,0.007294750127673522,0.014297710250240103,0.024801474212633883,0.02325485061969058,0.020287899103051902
2A_PCA_cum60,0.004740972130889373,0.0061248686701376185,0.00021520594852268224,0.0004218036591044572,0.8869411522474517,0.19433858685291586,0.006828361907929645,0.013383589339542104,0.04308292571814215,0.04371788488753841,0.0015360898969963945,0.003010736198112933,0.07798379022754413,0.09000656644864417,0.0031625083816556473,0.006198516428045068,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.024286298180120923,0.023019678100913838,0.0008088290422531899,0.0015853049228162523,0.0219268759757873,0.020120561855334132,0.0007069644807239907,0.0013856503822190218,0.0005151760325129578,0.006353900261688703,0.00022325329836084672,0.00043757646478725953,0.020771992345944068,1.6897152880430115,0.059370543415815484,0.11636626509499835,0.0028745982368465735,0.009174798778322188,0.000322369569035871,0.0006318443553103072,0.1159043294040264,2.2556416234819334,0.07925516794758726,0.15534012917727102,0.0010230099084641996,0.0030024627475028773,0.00010549578746573469,0.00020677174343284,0.14135562343263622,0.21323372942151433,0.0074922695438227075,0.014684848305892506,0.024801474212633883,0.024286298180120923,0.0219268759757873
2B_clustering,0.010948044038514279,0.012063286881741655,0.00042386069571482117,0.0008307669636010495,0.9023055818742932,0.1795628939513177,0.006309196979304842,0.01236602607943749,0.07431776720169239,0.07633747228472715,0.002682225369330172,0.005257161723887137,0.15899430485999105,0.09976350639647213,0.0035053323064181004,0.006870451320579477,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.02394977795552433,0.02316712942410971,0.000814009953645463,0.0015954595091451076,0.021481872926639452,0.0199560350520458,0.0007011835981180172,0.0013743198523113137,0.0008516962571095548,0.006263540772114494,0.00022007838952457182,0.00043135364346816074,0.034340549670861864,3.750331954212192,0.13177323285578707,0.25827553639734263,0.0033196012859944167,0.0091191526548781,0.00032041436355762426,0.0006280121525729435,0.13384693415939863,6.583414579018521,0.2313176094539676,0.45338251452977646,0.0008034549771312236,0.0023100987162483068,8.116859514639636e-05,0.00015909044648693688,0.12676202618314786,0.20462729923714756,0.007189870411535798,0.014092146006610164,0.024801474212633883,0.02394977795552433,0.021481872926639452
GMM,0.005477948574746833,0.007401513083170011,0.000260062660826139,0.0005097228152192325,0.9013918021448882,0.18249135942749892,0.006412092767681533,0.012567701824655804,0.03931353922336871,0.04360835659847087,0.0015322414652000084,0.0030031932717920163,0.1130013038247334,0.08145787851787564,0.0028621381053531986,0.005609790686492269,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.024507778465163207,0.023072520360809055,0.0008106857300085172,0.0015889440308166937,0.02251902513468101,0.02097688628603468,0.0007370526542468879,0.0014446232023239002,0.00029369574747067234,0.005274016445277621,0.00018531004871402297,0.00036320769547948503,0.01184186653392838,2.5201766417641016,0.08854998104365319,0.17355796284556024,0.002282449077952861,0.008546827429681722,0.0003003049049577427,0.0005885976137171757,0.09202876645091496,6.052017865804492,0.21264623217748288,0.41678661506786646,0.0009589052012765553,0.002806602794296812,9.861397019301065e-05,0.00019328338157830087,0.12421628129581497,0.20117325262913777,0.0070685075845836895,0.013854274865784031,0.024801474212633883,0.024507778465163207,0.02251902513468101
PS_propensity_score,0.002957253537746836,0.004943491576146011,0.00017369658860530112,0.0003404453136663902,0.8927653674162174,0.18794308800499526,0.00660364698423618,0.012943148089102912,0.03043827034443639,0.03320957064191755,0.0011668653704968836,0.0022870561261738916,0.07827715344271342,0.09119535336419456,0.00320427809616393,0.006280385068481303,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.023367717455126,0.023389678893868865,0.0008218295449399262,0.0016107859080822554,0.02169150727237472,0.02094563306617426,0.0007359545280360775,0.0014424708749507119,0.0014337567575078785,0.008251507336502963,0.00028992841458820893,0.0005682596925928895,0.05780933605864158,8.49906352422294,0.2986266523889127,0.5853082386822688,0.0031099669402591523,0.009839196751536184,0.0003457141342376018,0.0006775997031056995,0.12539443879811574,13.333952357547407,0.46850732957801844,0.9182743659729161,0.0009289879108172877,0.002571946077796541,9.036897361081874e-05,0.00017712318827720473,0.1305399603257849,0.20937835564716045,0.007356805517620059,0.014419338814535314,0.024801474212633883,0.023367717455126,0.02169150727237472
Prognostic_score,0.008090270836556435,0.008741119560292273,0.0003071316345597011,0.0006019780037370141,0.8929930831864942,0.18660376024039194,0.00655658780346231,0.012850912094786128,0.098962791278337,0.08548292152128352,0.0030035637005853518,0.005886984853147289,0.1042699912412451,0.11392162768002156,0.004002797980250577,0.00784548404129113,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.023349042772497886,0.02294517592360627,0.0008062113025761496,0.0015801741530492531,0.020752883460098046,0.020130598039661666,0.0007073171162961273,0.0013863415479404095,0.001452431440135991,0.007022873065494821,0.0002467586067245833,0.0004836468691801833,0.05856230269554419,5.993789256557083,0.2106002873974189,0.412776563298941,0.0040485907525358265,0.011121301516759143,0.00039076270376049054,0.0007658948993705615,0.16323992347493133,9.699061942072786,0.3407902989334012,0.6679489859094663,0.0009613574707060537,0.002764109893524692,9.712092185048368e-05,0.000190357006826948,0.14452215899669202,0.2163573005647554,0.007602020646558461,0.014899960467254584,0.024801474212633883,0.023349042772497886,0.020752883460098046
baseline_oracle_kmeans,0.42401144679028585,0.1178414141743341,0.004140525238734957,0.008115429467920515,0.8957947545390402,0.18683194461839958,0.006564605385250898,0.01286662655509176,0.4010968633006535,0.19531034909351794,0.006862506152645769,0.013450512059185708,0.021811200694300436,0.025093605385702128,0.0008816994191587419,0.001728130861551134,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.021844273836217922,0.021476486160254868,0.000754606804483215,0.0014790293367871012,0.0165074177208887,0.016860988776416817,0.0005924347570668075,0.0011611721238509428,0.0029572003764159506,0.009568299810733948,0.0003361957859697477,0.0006589437405007055,0.11923486285785223,3.304049236143047,0.11609245652835061,0.2275412147955672,0.008294056491745161,0.015064662649760514,0.0005293182906145629,0.0010374638496045432,0.3344178826079697,7.352138008337454,0.25832779753600416,0.5063224831705682,0.0007374770670217946,0.002218303920910942,7.794325480622885e-05,0.00015276877942020853,0.14891197178314722,0.22337460934877754,0.007848583744360867,0.015383224138947299,0.024801474212633883,0.021844273836217922,0.0165074177208887
baseline_oracle_quantile,0.07869270486530314,0.01874718438611458,0.0006587089152807511,0.001291069473950272,0.9042389904126049,0.1804933053139463,0.006341888302269367,0.01243010107244796,0.4059924145144742,0.06659567382163811,0.002339933462111404,0.0045862695857383515,0.029704947008552772,0.03553040707389468,0.0012484112505162857,0.00244688605101192,0.024801474212633883,0.02315124923582016,0.0008134519807047151,0.0015943658821812416,0.02088175828869373,0.021515068404230286,0.0007559624463521331,0.0014816863948501808,0.014811525143539466,0.015645691155667784,0.0005497335513273581,0.0010774777606016217,0.003919715923940142,0.011226373459170439,0.000394454555496021,0.0007731309287722012,0.15804366669233916,4.023942095879256,0.14138691328455666,0.27711835003773105,0.009989949069094398,0.016422135353519128,0.0005770150195632765,0.001130949438344022,0.402796583116238,4.260376913009819,0.14969438595453413,0.2934009964708869,0.0007081816798072385,0.0021103805961273396,7.415121570651458e-05,0.00014533638278476857,0.15655849660567153,0.2324101040737343,0.008166058667886422,0.016005474989057387,0.024801474212633883,0.02088175828869373,0.014811525143539466
