method,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_re_mean,bias_re_sd,bias_re_se,bias_re_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,bias_reduction_re_mean,bias_reduction_re_sd,bias_reduction_re_se,bias_reduction_re_ci95,bias_reduction_relative_re_mean,bias_reduction_relative_re_sd,bias_reduction_relative_re_se,bias_reduction_relative_re_ci95,re_tau2_mean,re_tau2_sd,re_tau2_se,re_tau2_ci95,re_I2_mean,re_I2_sd,re_I2_se,re_I2_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_crude_se,abs_bias_stratified_se,abs_bias_re_mean,abs_bias_re_se
1A_predicted_prob,0.02912469870306896,0.0047363783600219865,0.000669825051327353,0.0013128571006016118,0.8912173409514276,0.17451170571494015,0.024679682101493072,0.048372176918926424,0.3523210957652875,0.03594821443917548,0.0050838452402978285,0.009964336670983743,0.1105316028442472,0.10907484230145081,0.01542551212964183,0.03023400377409799,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.018881315713766132,0.01237407519574024,0.0017499584963640358,0.00342991865287351,0.01352336824640854,0.011434673596363793,0.0016171070481287208,0.003169529814332293,-0.00023392449025549675,0.008716599989649118,0.0012327133923142961,0.0024161182489360203,-0.012544622861806465,1.6639981486439632,0.06672558589681354,0.46123675491689875,0.00512402297710208,0.013962753775909007,0.001974631575796666,0.0038702778885614654,0.27478497746332065,2.4267918350291344,0.08963930160227353,0.6726723775262805,0.0004244288686418123,0.0006913889405268769,9.777716165678745e-05,0.0001916432368473034,0.14163065193144686,0.20298220652561444,0.02870601893889405,0.056263797120232335,0.018647391223510633,0.018881315713766132,0.0019429239352813197,0.0017499584963640358,0.01352336824640854,0.0016171070481287208
1B_residual,0.031503299423883614,0.004421237698317402,0.0006252574315435676,0.0012255045658253925,0.9269903543078466,0.17630731823509954,0.024933620059370706,0.04886989531636658,0.36256910943856696,0.0272669757400027,0.0038561326896409975,0.007558020071696355,0.07822075035005137,0.08035514948300403,0.011363934220538168,0.02227331107225481,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.013449745241492275,0.009865675906336361,0.0013952172668718359,0.0027346258430687984,0.008155220078100201,0.002162358956832311,0.0003058037363471192,0.0005993753232403536,0.0051976459820183615,0.016583225516070617,0.0023452222432718633,0.004596635596812852,0.2787331439405404,3.801405172401483,0.10385736665694309,1.0536957551735404,0.010492171145410421,0.014682848326433838,0.0020764683237509836,0.004069877914551928,0.562661608782139,3.8757628641611124,0.05387779981379755,1.0743066557795726,1.605894254306196e-05,5.6982600868082006e-05,8.058556696693446e-06,1.5794771125519153e-05,0.043852337379884025,0.1246584153174665,0.01762936216058991,0.03455354983475622,0.018647391223510633,0.013449745241492275,0.0019429239352813197,0.0013952172668718359,0.008155220078100201,0.0003058037363471192
1C_cv_decision,0.02912469870306896,0.0047363783600219865,0.000669825051327353,0.0013128571006016118,0.8912173409514276,0.17451170571494015,0.024679682101493072,0.048372176918926424,0.3523210957652875,0.03594821443917548,0.0050838452402978285,0.009964336670983743,0.1105316028442472,0.10907484230145081,0.01542551212964183,0.03023400377409799,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.018881315713766132,0.01237407519574024,0.0017499584963640358,0.00342991865287351,0.01352336824640854,0.011434673596363793,0.0016171070481287208,0.003169529814332293,-0.00023392449025549675,0.008716599989649118,0.0012327133923142961,0.0024161182489360203,-0.012544622861806465,1.6639981486439632,0.06672558589681354,0.46123675491689875,0.00512402297710208,0.013962753775909007,0.001974631575796666,0.0038702778885614654,0.27478497746332065,2.4267918350291344,0.08963930160227353,0.6726723775262805,0.0004244288686418123,0.0006913889405268769,9.777716165678745e-05,0.0001916432368473034,0.14163065193144686,0.20298220652561444,0.02870601893889405,0.056263797120232335,0.018647391223510633,0.018881315713766132,0.0019429239352813197,0.0017499584963640358,0.01352336824640854,0.0016171070481287208
2A_PCA_cum60,0.015928743419166655,0.004177909699920941,0.0005908456559998303,0.0011580574857596674,0.8807118124296305,0.21276951167931,0.03009015290763808,0.05897669969897064,0.1578564987861329,0.028979313192208932,0.004098293774467942,0.008032655797957167,0.08033031403571739,0.08939399220064136,0.012642219616482169,0.02477875044830505,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.018829121921951967,0.011963302522408027,0.001691866467796169,0.003316058276880491,0.01768865665147338,0.010477401133103746,0.001481728278085855,0.0029041874250482756,-0.00018173069844134183,0.0074823219421837565,0.0010581601168678065,0.0020739938290609008,-0.009745636602089824,2.304522667549889,0.057254415474962676,0.6387810934040741,0.000958734572037261,0.011346182212232277,0.0016045924765695251,0.0031450012540762693,0.05141387127806285,4.5071166684276065,0.08257682767014692,1.2493090018588795,0.0006627132990995274,0.0014952123981883233,0.00021145496521463275,0.00041445173182068015,0.12990906891854656,0.23567408770318926,0.03332934911297565,0.06532552426143227,0.018647391223510633,0.018829121921951967,0.0019429239352813197,0.001691866467796169,0.01768865665147338,0.001481728278085855
2B_clustering,0.023476932816912665,0.005469495311028933,0.0007735034448193166,0.0015160667518458605,0.864695901413751,0.1905205332846137,0.02694367220816554,0.05280959752800445,0.20950684779588205,0.031777200724848714,0.0044939748239333195,0.008808190654909306,0.14348831202154547,0.08681259663641991,0.012277155154804997,0.024063224103417793,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.017956262108634064,0.01253332966979593,0.0017724804800718509,0.0034740617409408274,0.016506648142750106,0.011844730608450088,0.0016750978669125836,0.003283191819148664,0.0006911291148765598,0.006586687818273665,0.0009314983243720269,0.0018257367157691726,0.037063045795124094,1.7199937560471688,0.04847948187702095,0.4767579454117935,0.0021407430807605125,0.00917587084962434,0.0012976641002122675,0.002543421636416044,0.11480121026588841,4.514071423483695,0.06410867559112576,1.2512367616078468,0.0005563591838367416,0.0009292405964458902,0.00013141446542014418,0.0002575723522234826,0.14602635429873406,0.20964438296414534,0.029648192966323338,0.05811045821399374,0.018647391223510633,0.017956262108634064,0.0019429239352813197,0.0017724804800718509,0.016506648142750106,0.0016750978669125836
GMM,0.005299448350804161,0.003287721101085023,0.0004649539770454645,0.0009113097950091104,0.8948908542348073,0.17596972423483132,0.024885877057995193,0.04877631903367058,0.04980383379583163,0.02982475340901675,0.004217857076546469,0.008266999870031079,0.09584468570599725,0.08036076899303506,0.011364728939268147,0.022274868720965568,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.0179684327285214,0.013746108597149979,0.00194399332079429,0.0038102269087568084,0.016860022936767978,0.012753687076155559,0.0018036437233361654,0.0035351416977388844,0.000678958494989252,0.003960333959928513,0.0005600757997657648,0.001097748567540899,0.036410374344117535,1.1588166718465023,0.029733602744566205,0.32120759371135765,0.0017873682867426304,0.006833204194191319,0.000966361004589008,0.0018940675689944556,0.0958508493396728,4.895351740866738,0.04882713112052212,1.3569222736060145,0.0006081064210576103,0.0012290006873491067,0.00017380694402149626,0.0003406616102821327,0.12671957326460018,0.19027865540598887,0.02690946551052661,0.05274255240063216,0.018647391223510633,0.0179684327285214,0.0019429239352813197,0.00194399332079429,0.016860022936767978,0.0018036437233361654
PS_propensity_score,0.005052142395907915,0.004141071270321582,0.0005856359153242362,0.001147846394035503,0.8810056373124815,0.20534786991520798,0.02904057426385132,0.05691952555714858,0.05014762333713182,0.053692343553229965,0.007593244044857343,0.014882758327920393,0.05896453146025868,0.06653921715935017,0.009410066333644157,0.018443730013942547,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.018164238301304866,0.012018767230903424,0.001699710362094895,0.003331432309705994,0.017543975752737775,0.012031925192327642,0.0017015711788448261,0.003335079510535859,0.0004831529222057771,0.0072276977636553845,0.0010221508202095133,0.002003415607610646,0.025909947210020934,1.213558654250918,0.05355439673610566,0.3363812970850704,0.0011034154707728644,0.009339412459276632,0.0013207923764505275,0.002588753057843034,0.05917264552167878,1.1546970721535672,0.0678847375114488,0.3200656989349275,0.000727311164373935,0.0013015742373070965,0.0001840703938835113,0.00036077797201168214,0.14431953300795147,0.22960681843857625,0.03247130766491713,0.06364376302323758,0.018647391223510633,0.018164238301304866,0.0019429239352813197,0.001699710362094895,0.017543975752737775,0.0017015711788448261
Prognostic_score,0.026292602985774557,0.004761356713023604,0.0006733575238854161,0.0013197807468154157,0.8577697421649969,0.20200246378510475,0.02856746239176751,0.055992226287864315,0.32230310135537416,0.040874927400445855,0.005780587669072616,0.011329951831382327,0.10716036772458234,0.10603500893286764,0.01499561477192137,0.029391404952965883,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.01848876029925123,0.012089102538908162,0.001709657276744294,0.0033509282624188163,0.014302809349805143,0.011563028585524182,0.0016352591847756085,0.0032051080021601925,0.00015863092425941736,0.008491886755064054,0.0012009341419148038,0.0023538309181530153,0.008506869532473815,1.1813061918329624,0.06397115735964252,0.3274413706098757,0.004344581873705487,0.013083184169565073,0.0018502416491623904,0.003626473632358285,0.23298604194177253,2.57002500213348,0.08604077966603048,0.7123745858764016,0.0004883347071510555,0.0008815084136019215,0.0001246641153861829,0.00024434166615691844,0.14106366083326033,0.21887985090138534,0.030954285367494005,0.06067039932028825,0.018647391223510633,0.01848876029925123,0.0019429239352813197,0.001709657276744294,0.014302809349805143,0.0016352591847756085
baseline_oracle_kmeans,0.3722660887116946,0.018791578279718137,0.002657530486157306,0.00520875975286832,0.9126350345655081,0.14674473847703354,0.020752839936111378,0.0406755662747783,0.3548217400165187,0.10913695747823278,0.015434296542185257,0.030251221222683103,0.030391323164213366,0.020485145906714047,0.00289703711684667,0.005678192749019473,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.019008631721070278,0.011843785677463971,0.0016749642334909763,0.0032829298976423133,0.016509492285790416,0.01139336657075393,0.0016112653525448448,0.0031580800909878958,-0.00036124049755963193,0.008302137013427035,0.0011740994761068174,0.002301234973169362,-0.019372173470795895,2.8249090652078284,0.06402535798336091,0.7830248436475721,0.0021378989377202075,0.012541969487402714,0.001773702334795445,0.003476456576199072,0.11464868796364147,3.415012352975616,0.08811467902525645,0.9465931299089552,0.0003698519341425291,0.000615862656553559,8.709613214571666e-05,0.00017070841900560465,0.12358946005515968,0.18614383874501586,0.026324714130539183,0.0515964396958568,0.018647391223510633,0.019008631721070278,0.0019429239352813197,0.0016749642334909763,0.016509492285790416,0.0016112653525448448
baseline_oracle_quantile,0.09524543117635856,0.0070794640765787275,0.0010011874111430755,0.001962327325840428,0.8971491310243016,0.16633630578700354,0.02352350595590187,0.046106071673567665,0.4466384073054035,0.02254745474768821,0.00318869163011743,0.006249835595030163,0.042262283287032194,0.04673488003442386,0.00660931011805618,0.012954247831390112,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.016196304104977913,0.012423362266377032,0.001756928740738455,0.0034435803318473715,0.01266306065720281,0.009171273193508281,0.0012970138934488217,0.0025421472311596906,0.002451087118532712,0.009489643354373061,0.0013420382333838093,0.0026303949374322662,0.13144396924768698,1.9175864779682101,0.06652956332869223,0.5315278536165162,0.005984330566307813,0.013418079582278268,0.001897603012625944,0.0037193019047468503,0.3209205241944395,4.330192750753441,0.07886030255061688,1.2002681938978144,0.000557440303417306,0.0009224268418549308,0.00013045085500482253,0.00025568367580945217,0.16932692250805334,0.24009613656733664,0.033954721260691025,0.06655125367095441,0.018647391223510633,0.016196304104977913,0.0019429239352813197,0.001756928740738455,0.01266306065720281,0.0012970138934488217
